cat,catname,problem,problemname,catdesc,issues,examples
2,MIPD (Specific),909,Feminism,includes any negative mentions of feminism,Feminism,"Feminism, me-too movement"
2,MIPD (Specific),1001,Politics,includes all mentions of politics not in other categories,Politics (general),"Politics, politicians, politics as usual, fix government, mess in Washington"
2,MIPD (Specific),1002,Corruption,includes all mentions of government corruption,"Corruption, abuse of power, dirty politics","Corruption, abuse of power, concentration of power, clean up politics, dirty politics, grift, fraud, cronyism"
2,MIPD (Specific),1003,Trustworthiness,includes all mentions of trustworthiness of leaders,"Trust in government, lack of faith in leaders, ethics, integrity in politics","Lack of trust and confidence in government, government ethics, integrity in politics, lack of morality, credibility, moral leadership"
2,MIPD (Specific),1004,Leadership,includes any mention of quality of leadership,Leadership,"Lack of leadership, courage, lack of responsibility"
2,MIPD (Specific),1005,Competence,includes any mentions of the abilities or competence of leaders,"Competence, government dysfunction, ineffective government","Competence, government dysfunction, government can't fix problems, deadlock, gridlock, obstruction, stalemate, lack of cooperation"
2,MIPD (Specific),1006,Representation & Accountability,includes any mentions of representativeness or accountability,"Representation, accountability, business influence, special interests, self-interested politicians, compensation of leaders","Frustration with government, citizen-government relationship, lack of responsiveness, business in politics, corporate power, lobbying, rich influencing politics, career politicians, pay for elected officials, political accountability"
2,MIPD (Specific),1007,Dishonesty,includes any mention of dishonest politicians,"Honesty in politics, secrecy","Dishonesty in politics, secrecy, transparency, deception, cheating"
2,MIPD (Specific),1008,Scandals,includes all mentions of scandals in politics,Specific scandals,"Scandal examples include Watergate, Savings & Loan, Clinton-Lewinsky "
2,MIPD (Specific),1009,Political Process,includes any mention of the electoral or political process,"Campaign finance, electoral system, elections administration, term limits, two-party system, apportionment","Government reform, foreign influence in elections, campaign finance, money in politics, electoral college, election integrity, election reform, term limits, third parties, redistricting"
2,MIPD (Specific),1010,Ideology,includes all mentions of political ideology,"Conservativism, liberalism, fascism, communism, partisanship, Republicans, Democrats, American ideals","Ideology, communism, fascism, socialism, partisanship, Republicans, Democrats, conservatism, liberalism, American ideals, acceptance of others, political division"
2,MIPD (Specific),1011,Political Institutions,includes any mention of political institutions,"Government, president, Congress, Supreme Court, courts, media, bureaucracy","Democratic institutions, checks and balances, separation of powers, threats to democracy, divided government, president, Senate, House, courts, media, intelligence, bureaucracy"
2,MIPD (Specific),1012,Political Actors,includes any mentions of domestic political actors,Presidents and other domestic political actors,Presidents
2,MIPD (Specific),1013,Experts & Science,includes any mentions of trusting experts or science,"Trust in experts, science","Trust in science, disagreement on facts, critical theinking, ignorance of science"
2,MIPD (Specific),1101,Youth (General),includes any mentions of youths not in other categories,Youth issues,"Children, youth problems, morals for children, children's needs"
2,MIPD (Specific),1102,Youth Crime,includes mentions of youth crime,"Youth crime, juvenile delinquency","Juvenile delinquency, youth crime, teenage violence, drugs, underage drinking"
2,MIPD (Specific),1103,Gangs,includes mentions of criminal gangs,Gangs,Gangs
2,MIPD (Specific),1104,School Violence,includes any mention of school violence,"School shootings, school violence","School shootings, school safety, bullying, weapons in schools"
2,MIPD (Specific),1105,Employment,includes any mention of youth employment,Employment for youths,"Employment programs, job training for youths"
2,MIPD (Specific),1106,Crime against Youths,includes any mention of crimes against youths,Crime against youths,"Violence against children, rights and protections, child labor, treatment of children"
2,MIPD (Specific),1201,Minorities,includes all mentions of minority groups,"Native Americans, hispanics, Asian Americans, Jews, Muslims","Minorities, American Indians, anti-semitism, Muslim fundamentalism"
2,MIPD (Specific),1301,Other,includes any mention not in other categories,Other mentions,"Other, miscellaneous, stress, stem cell technology, Y2K, Enron, suicide"
2,MIPD (Specific),1302,All,includes any mentions of all,All,"All problems, combination of problems, many things, too many to name, all equal"
2,MIPD (Specific),1401,None,includes mentions of no problems,None,"Nothing, none, no other mention"
2,MIPD (Specific),1501,Don't Know ,includes all mentions associated with don't know,Don't know ,"Don't know, not sure, can't say, not interested, no clue"
2,MIPD (Specific),1502,No Opinion,includes any mention of no opinion,"No answer, no opinion","No answer, no opinion"
2,MIPD (Specific),1503,Not Applicable,includes all inapplicable responses,"Not asked, not interpretable","Not asked, not interpretable"
2,MIPD (Specific),1504,Refused,includes all refused responses,"Refused, unknown, don't care to answer","Refused, unknown, don't care to answer"
6,Policy Agendas Project,1,Macroeconomics,includes all mentions of macroeconomics,"Economy, employment, inflation, monetary policy, growth, recession, domestic commerce, taxes, industrial policy, inequality, classes, budget, debt, deficit, government spending","Economy, unemployment, inflation, cost of living, prices, interest rates, growth, recession, domestic commerce, bailouts, big business, government regulation, taxes, tax reform, labor unions, strikes, balance the budget, debt, deficit, government spending, size of government"
6,Policy Agendas Project,2,Civil Rights,"includes all mentions of civil rights, minority issues and civil liberties","Gender rights, LGBTQ+ rights, reproductive rights, privacy rights, freedom, civil rights, racism/discrimination, non-violent political participation, church and state conflict, minorities","Sexual harassment, discrimination, gender equality, equal pay, gay marriage, reproductive rights, access to contraceptions, privacy rights, big brother, freedom, liberties, human rights, support for the constitution, civil rights, employment and housing discrimination, affirmative action, race relations, prejudice, racism, school prayer, religion in politics"
6,Policy Agendas Project,3,Health  ,includes all mentions of health and health care,"Health care, alcohol and smoking, public health","Health care, health care policy, Medicare, Medicaid, Affordable Care Act, alcohol, tobacco, COVID"
6,Policy Agendas Project,4,Agriculture,includes all mentions of agriculture and agricultural policy,Agricultural policy,"Farmers, agriculture, crop prices, farms, aid to farmers, subsidies, farm crisis, cost of farming"
6,Policy Agendas Project,5,Labor & Employment,includes all mentions of labor and employment,"Employment compensation, unemployment insurance, youth employment","Wages, income, benefits, minimum wage, unemployment compensation, youth employment"
6,Policy Agendas Project,6,Education,includes all mentions of education and education policy,Education ,"Education, schools, literacy, teachers' salary, teacher quality, education standards, access to education, financial assistance, funding for schools, higher education, school choice, vouchers"
6,Policy Agendas Project,7,Environment,includes all mentions of the environment and environmental policy,"Environment, climate change, pollution","Environment, protection of the environment, conservation, climate change, effects of climate change, global warming, air pollution, smog, water pollution, acid rain"
6,Policy Agendas Project,8,Energy  ,includes all mentions of energy policy,"Energy sources, lack of resources","Energy, fuel, energy crisis, energy dependence, energy policy, oil, coal, nuclear power, renewable energy, green energy, lack of water, energy shortages"
6,Policy Agendas Project,9,Immigration,includes all mentions of immigration and immigration policy,"Immigration, refugees","Immigration, limits on entrants, amnesty, immigration law, deportation, quotas, muslim ban, naturalization policy, DACA, border protection, enforcement, threats from immigrants, immigrants take Americans' jobs, cultural impacts, immigrants get free education, immigrants on welfare, treatment of immigrants, refugees"
6,Policy Agendas Project,10,Transportation,includes all mentions of transportation and transportation policy,"Transportation, infrastructure","Mass transit, mass transportation, congestion, traffic accidents, highway safety, roads, bridges, highways, public works"
6,Policy Agendas Project,12,"Law, Crime & Family Issues","includes all mentions of law, crime and family issues","Crime, law enforcement, gun control, drugs, violence against women, political violence, teen pregnancy, youth, youth crime, gangs, school violence, crime against youths","Crime, violence, law and order, police, rule of law, criminal justice, police misconduct, police brutality, support for police, criminal sentencing, punishment, prisons, capital punishment, death penalty, drugs, sexual assault, riots, looting, teen pregnancy, school shootings, gangs, child abuse"
6,Policy Agendas Project,13,Social Welfare,includes all mentions of social welfare and welfare policy,"Social policy, welfare, retirement, poverty, hunger, child care, elderly people, disabilities, social spending","Social policy, domestic problems or issues, welfare, welfare reform, attitudes toward welfare, retirement policy, Social Security, aid to the poor, poverty, hunger, child care, aid to the elderly, elderly issues, those with disabilities, social spending"
6,Policy Agendas Project,14,Community Development & Housing,includes all mentions of community development and housing issues,"Housing, homelessness, urban issues","Housing for the poor, slums, public housing, federal housing administration, rent control, rent subsidies, homeless shelters, urban issues, urban renewal"
6,Policy Agendas Project,15,"Banking, Finance & Domestic Commerce","includes all mentions of banking, finance and domestic commerce","Domestic commerce, government regulation, natural disasters","Businesses, bailouts, production, financial institutions, subsidies, tax incentives, improve industry, not enough investment, business ethics (such as corruption or greed), big and small businesses, Wall Street, government regulations, too much government control, free market, hurricanes, droughts"
6,Policy Agendas Project,16,Defense  ,includes all mentions of defense,"Defense spending, national security, nuclear weapons, terrorism, war, crises, veterans","Defense spending, military spending, national security, nuclear weapons, nuclear disposal, nuclear war, international terrorism, domestic terrorism, war, crises, veterans issues, veterans benefits"
6,Policy Agendas Project,17,"Space, Science, Technology & Communications","includes all mentions of space, science, technology and communications","Space policy, experts/science","Space, Sputnik, space race, space exploration, NASA, space shuttle disasters, the moon, trust in experts, belief in science"
6,Policy Agendas Project,18,Foreign Trade,includes all mentions of foreign trade,"Globalization, trade ","Globalization, foreign ownership, foreign investment, foreign competition, trade relations, trade policy, protections, balance of trade, trade agreements"
6,Policy Agendas Project,19,International Affairs,includes all mentions of international affairs and foreign aid,"Foreign policy, foreign aid, world hunger, other countries, other foreign actors, international cooperation, other economies, world economy","Foreign policy, foreign affairs, foreign aid, too much money going abroad, spend money at home instead, other countries, other foreign political actors, international organizations, UN, WTO, other economies, world economy"
6,Policy Agendas Project,20,Government Operations,includes all mentions of government operations,Politics (all mentions),"Politics, corruption, trustworthiness, ethics, lack of trust in government, integrity in politics, leadership, government dysfunction, representation, accountability, business influence in politics, special interests, lobbying, dishonesty in politics, political scandals, campaign finance, electoral college, two-party system, apprortionment, ideology, political institutions, political actors"
6,Policy Agendas Project,21,Public Lands & Water Management,includes all mentions of public lands and water management,"Lack of resources, Native Americans","Water shortage, energy shortage, Native Americans"
6,Policy Agendas Project,22,Other,includes all other mentions,"Morals and values, family values, religion, culture, abortion, feminism, other, all","Morals, values, ethics, family values, divorce, religion, religious values, cultural values, defense of marriage, pro-life, feminism"
6,Policy Agendas Project,23,None,includes all mentions of no issues,None,None
6,Policy Agendas Project,24,Don't Know/Refused,includes all mentions of don't know and refused,"Don't know, refused","Don't know, refused"
3,Economic,101,Economy,includes all general mentions of the economy,Economy (general) ,"Economic problems, concerns or issues, economic situation, economic future, consumer confidence"
3,Economic,102,Employment,includes all mentions of employment,"Employment, unemployment, jobs","Jobs, job loss or cutbaks, finding a job, job protection, employment opportunities"
3,Economic,103,Inflation,includes all mentions of inflation,"Prices, cost of living, inflation, price of gas/energy, price of food, housing costs, health care costs, education costs","Cost of living, prices, inflation, bills, price controls, price of goods like gas/energy, food, housing, health care, education and transportation"
3,Economic,104,Monetary Policy,includes all mentions of monetary policy,"Interest rates, exchange rates","Interest rates, strength of the dollar, exchange rates, cost of borrowing"
3,Economic,105,Growth/Recession,includes all mention of economic growth or recession,"Economic growth, recession, depression","Depression, recession, prosperity, good economic times, economic crisis, finances, investment, business cycle, financial problems, economic stability"
3,Economic,106,Domestic Commerce,includes all mentions of business development and domestic commerce,"Businesses, financial institutions, subsidies, business ethics, big and small businesses, Wall Street","Businesses, bailouts, production, financial institutions, subsidies, tax incentives, improve industry, not enough investment, business ethics (such as corruption or greed), big and small businesses, Wall Street"
3,Economic,107,Government Regulation,includes all mentions of regulation and degregulation,"Deregulation, red tape, free market/enterprise, consumer protection","Deregulation and regulation (regardless of topic), red tape, too much government control, free market/enterprise, consumer protection"
3,Economic,108,Employment Compensation,"includes all mention of wages, benefits, and employee compensation","Wages, benefits, minimum wage","Wages, income, benefits, minimum wage, sick leave, health insurance from employment"
3,Economic,109,Taxes,includes all mentions of taxes and tax reform,"Tax level, fairness, reform","Taxes (level), types of taxes, cost of government, taxes (fairness), tax structure, tax loopholes, tax system, tax code, reform"
3,Economic,110,Industrial Policy,includes all mentions of industrial policy,"Unions, strikes, work stoppages, automation","Labor, labor problems, strikes, AFL-CIO, work stoppages, mechanization, automation"
3,Economic,501,Budget,includes any mention of the budget not falling into other categories,"Budget, spending priorities","Balance the budget, spending priorities, federal surplus, allocation of government funds, fiscal responsibility"
3,Economic,502,Debt,includes all mentions of the federal debt,Debt,"Debt, debt crisis, country going bankrupt, foreign debt, debt ceiling"
3,Economic,503,Deficit,includes any mention of deficit or budget shortfall,"Deficit, deficit spending","Deficit, budget shortfall, failure to balance budget, fiscal controls, deficit spending, fiscal crisis"
3,Economic,504,Government Spending,includes all general mentions of government spending (not social or defense),"Government spending, federal expenses, government expenditures","Federal spending, stimulus, federal expenses, size of government, too much government, pork barrel spending"
3,Economic,505,Social Spending,includes all mentions of social spending,Social spending,"Social spending, welfare spending, excess spending on social programs"
3,Economic,506,Defense Spending,includes all mentions of military and defense spending,"Defense spending, military spending, defense appropriations","Military spending, defense spending, military personnel, military preparedness, excess military spending, military-industrial complex, costs of defense spending"
4,Social Policy,201,Social Policy (General),includes all mentions of social policy that don't fit into other specific categories,Social policy  ,"Social policy, domestic problems or issues, domestic affairs"
4,Social Policy,202,Welfare,includes all mentions of welfare and entitlements,"Welfare benefits, entitlements, welfare reform","Welfare benefits, entitlments, social services, aid for the poor, weflare cuts, welfare abuse and fraud, welfare reform"
4,Social Policy,203,Education,includes all mention of education and education policy,"Education, teachers, schools, academic performance","Education, schools, literacy, teachers' salary, teacher quality, education standards, access to education, financial assistance, funding for schools, higher education, school choice, vouchers"
4,Social Policy,204,Health Care,includes any mention of health care or health policy,"Health care, Affordable Care Act, Medicare, Medicaid","Health care, hospitals, quality of health care, health care access, Obamacare, insurance mandates, medical care for the elderly or poor, universal health care coverage, prescription drugs coverage"
4,Social Policy,205,Retirement,includes all mentions of retirement benefits and pensions,"Retirement, pensions, Social Security","Social Security, retirement, senior citizen benefits/cuts, pensions, Social Security reform, savings"
4,Social Policy,206,Unemployment Insurance,includes any mention of unemployment insurance,Unemployment insurance,"Unemployment compensation, unemployment insurance, benefits related to unemployment"
4,Social Policy,207,Poverty,includes all mentions of poverty and issues related to the poor,"Poverty, the poor","Poverty, the poor, problems of the poor, lack of money, making ends meet, earning a living, bills, reliance on credit, personal debt, bankruptcy"
4,Social Policy,208,Inequality,includes all mentions of inequality,"Inequality, rich-poor disparity, differences aross groups","Rich-poor disparity, economic/income inequality, financial gaps, rich get richer, haves and have nots, unbalanced economy"
4,Social Policy,209,Classes,includes all mentions of different classes,"Middle class, upper class, class divisions","Middle class, upper class, class distinctions, government policies favor the rich, rich take advantage of the poor, class warfare, classism, treatment of lower class"
4,Social Policy,210,Hunger,includes all mentions of hunger,"Hunger, starvation, food insecurity","Hunger, starvation, food insecurity, getting enough to eat"
4,Social Policy,211,Housing,includes all mentions of housing policy,"Slums, housing policy","Housing for the poor, slums, public housing, federal housing administration, rent control, rent subsidies"
4,Social Policy,212,Homelessness,includes any mentions of homelessness,"Homelessness, shelters, funding","Homeless shelters, funding for the homeless, transients, street people"
4,Social Policy,213,Transportation,includes all mentions of transportation,"Transportation policy, funding, transportation projects","Mass transit, mass transportation, congestion, traffic accidents, highway safety"
4,Social Policy,214,Infrastructure,includes all mentions of infrastructure,"Roads, bridges, highways","Roads, bridges, aiports, highways, public works, Works Progress Administration, railroads, dams, parks"
4,Social Policy,215,Child Care,includes all mentions of child care,"Child care, day care","Child care, day care, parental leave, Head Start, assistance to young mothers"
4,Social Policy,216,Urban Issues,includes any mention of urban policy or issues,"Urban renewal, city problems","Urban issues, urban renewal, inner cities, city growth, urban development"
4,Social Policy,217,Specific Groups,includes any mentions of specific groups,"Refugees, elderly people, veterans, disabilities","Benefits/care for groups, migrants, asylum, elderly care, disabled veterans, veterans housing, abelism"
5,Foreign Policy,506,Defense Spending,includes all mentions of military and defense spending,"Defense spending, military spending, defense appropriations","Military spending, defense spending, military personnel, military preparedness, excess military spending, military-industrial complex, costs of defense spending"
5,Foreign Policy,601,Foreign Policy,includes all mention of foreign policy not in other categories,"Foreign policy, isolationism, multilateralism, US position in the world","Foreign policy, foreign affairs, international affairs, foreign relations, problems in other countries, stop helping other countries, focus on priorities at home, allies, help others, foreign commitment, diplomacy, US prestige"
5,Foreign Policy,602,National Security,includes all mention of security and national defense,"National security, defense","National security, defense program, national affairs, security"
5,Foreign Policy,603,Nuclear Weapons,includes all mentions of nuclear weapons and their consequences,"Nuclear weapons, arms control, proliferation, nuclear war","Nuclear weapons, atom bomb, atomic weapons, nuclear tests, arms control agreements, arms talks, disarmament, arms races, nuclear security, nuclear warfare, nuclear fallout"
5,Foreign Policy,604,Terrorism,includes any mention of international and domestic terrorism,"Terrorism, al-Qaeda, ISIS, Islamic terrorism, domestic terrorism","Terrorism, airjacking, hostages, terror, attacks of September 11th, Osama bin Laden, War on Terror, extremism, jihadists, domestic terrorism, anthrax"
5,Foreign Policy,605,War,includes any mention of specific wars or wars in general,"War, peace, aftermath of war","Specific wars, peace, fear of war, danger of war, aftermath of war"
5,Foreign Policy,606,Crises,includes any mentions of crises,"International crisis, tensions, instability","Specific crises, international crisis, international tensions, instability"
5,Foreign Policy,608,Foreign Aid,includes any mention of foreign aid or assisting other countries,Foreign aid either pro- or anti-,"Foreign aid, Marshall Plan, aid to [country], too much money sent overseas, spend money at home instead, democracy promotion"
5,Foreign Policy,609,World Hunger,includes all mentions related to world hunger,"World hunger, food shortage, famine","World hunger, shortages of food, famine, starvation"
5,Foreign Policy,610,Other Countries,includes specific mentions of other countries,Other countries,Other countries
5,Foreign Policy,611,Political Actors,includes mentions of political actors from other countries,Political actors in other countries,Other countries' political actors
5,Foreign Policy,701,Globalization,includes all mentions of international economic relations,"Globalization, foreign investment, US competition","Globalization, foreign ownership, foreign investment, foreign competition"
5,Foreign Policy,702,Trade,includes all mentions of international trade,"Trade, trade deficit, consequences of trade, trade protections, free trade","Trade relations, trade policy, imports from [country], dependence on foreign goods, balance of trade, buy American, job losses due to trade, outsourcing, dumping, protection of US industry, trade agreements, fair trade"
5,Foreign Policy,703,International Cooperation,includes all mentions of international organizations,"United Nations, World Trade Organization",Specific mentions of international organizations
5,Foreign Policy,704,Other Economies,includes any mentions of other countries' or regions' economies,Economies,Specific mentions of other countries' or regions' economies
5,Foreign Policy,705,World Economy,includes mentions of the global economy,World economy,Mentions of the global economy
